sample_name,variant_count,query_time_seconds,stats_calculation_time_seconds,total_time_seconds
C05_R_HD827_SSEQ_v1_1ff870e1-e49c-46c2-baaf-87753b0be9c7,185,0.0832,0.0714,0.1546
HD827_SSEQ_v3_675921f2-8bc9-4d5c-86ef-319b7d178e62,184,0.0729,0.0676,0.1405
C10_HD827_SSEQ_v1_4fd4a642-60d1-4ef1-b570-349aedb8a574,183,0.0739,0.0647,0.1385
C13_HD827_SSEQ_v1_acc94255-c8cc-4f1b-a37b-71c778c1a264,184,0.077,0.0629,0.1399
C01_R_HD827_SSEQ_v1_e32dcaec-da7a-43b7-9cf5-eedc75b460a0,184,0.0655,0.0599,0.1254
C02_R_HD827_SSEQ_v1_0fdc504f-2689-459f-abaa-86e56b01bd05,181,0.0607,0.0622,0.1229
C21_HD827_SSEQ_v1_97494db0-83d6-4220-ab1e-15b65c831c29,183,0.0663,0.0662,0.1326
C03_R_22PC1038_21P365_v1_6a3da249-c00e-4d0f-b2cb-c6c663755e1a,101,0.0612,0.0576,0.1188
C05_R_TMB7_SSEQ_v1_03283e77-6c8b-43ab-a731-853189c264b2,0,0.0605,0.0,0.0605
C18_HRD-Low_NTRK_v1_51061df5-e23b-4299-b5a8-1342e3d47308,0,0.0642,0.0,0.0642
C21_TMB7_SSEQ_v1_992fa632-ac96-4d9d-8a74-45eb7e36e01b,0,0.0539,0.0,0.0539
HD827_SSEQ_PCR1_IC1_S5-1_v1_f4349049-376e-4c46-a829-2e971d629ca2,185,0.0595,0.0609,0.1204
HD827_SSEQ_PCR1_IC1_S5-2_v1_22d4ec48-18b3-45d2-8de0-e843324d7c76,184,0.0613,0.0633,0.1247
C22_TMB26_NTRK_v1_bf5b0792-a543-4180-87ff-53ec05645d64,0,0.0609,0.0,0.0609
HD827_SSEQ_PCR2_IC1_S5-2_v1_d4c46aad-2261-4994-a18d-290d0953e630,185,0.0646,0.0718,0.1365
HD827_SSEQ_PCR2_IC1_S5-1_v1_efba6b90-14a9-414a-9eed-b419649df2ae,182,0.0666,0.0632,0.1298
HD827_SSEQ_PCR2_IC2_S5-1_v1_a370ea3e-8279-492c-b53e-5a51bccfc58a,186,0.0633,0.0607,0.124
HD827_SSEQ_PCR2_IC2_S5-2_v1_6d9b0cde-e8e9-4b5c-8d4d-385d091b6041,186,0.0653,0.0618,0.1271
C17_NA12878_NTRK_v1_ac3a1084-b388-425d-978f-9dfeb2155d50,94,0.067,0.064,0.131
HD827_SSEQ_PCR1_IC2_S5-2_rpt_v1_ffaf8df5-9b3e-4025-953e-3076bf7ba139,185,0.059,0.0607,0.1197
HD827_SSEQ_PCR1_IC2_S5-1_rpt_v1_9b5ed427-fac7-4513-993c-2900ab7e4b8c,186,0.0625,0.0723,0.1348
C23_Blank_v1_1c6f98f3-0419-4d6c-8ecf-93a878520265,32,0.0598,0.0519,0.1117
C23_HD827_SSEQ_v1_993a3f62-25ce-4818-9687-9ea6bd130af4,185,0.0641,0.0626,0.1267
C23_23P634_c171288_2023-12-15-15-32-06-216,0,0.059,0.0,0.059
C17_HD827_SSEQ_v1_e48580c2-f4c6-4426-9634-3fabaf84040c,186,0.0648,0.0599,0.1246
C18_HD827_SSEQ_v1_449bb95e-9399-45c1-ba11-d01a2f3efe5e,184,0.0682,0.0559,0.1241
HD832_SSEQ_v3_14ea8d73-5b65-441c-8231-aed44be0d214,185,0.066,0.0669,0.1329
HD827_SSEQ_v4_b03fbbb2-d35e-4ba0-8db1-24f35f1d07d7,184,0.0539,0.0629,0.1169
HD832_SSEQ_v4_8c21d20e-f525-4a17-a7c2-b2349585d460,183,0.0646,0.0665,0.1312
HD827_SSEQ_v5_61451fe5-5eac-4a26-8d6c-21cf71dadc6a,183,0.0636,0.065,0.1286
HD832_SSEQ_v5_9d5ea8f0-ffe9-4f82-9e2d-44e5acc6de38,184,0.062,0.0626,0.1246
HD832_SSEQ_v6_9a1fd04c-b49a-41c2-9da9-b42e5e9322dd,185,0.0584,0.0593,0.1177
HD832_SSEQ_v7_e0e55e58-7951-496d-8332-62bc41ef0fd0,184,0.0744,0.0721,0.1465
HD827_SSEQ_v6_b03f75cc-a08c-4c16-b68e-b70752aa30eb,184,0.0595,0.0602,0.1196
HD832_SSEQ_v8_93484d83-0fba-4118-a90f-983366df3bf5,185,0.0609,0.0652,0.1261
HD832_SSEQ_RNA_v7_cb66815e-a77b-4dad-be02-cc52f3010a5a,17,0.0593,0.0611,0.1204
HD832_SSEQ_v8_c190066_2024-03-19-22-51-23-278,185,0.0629,0.0664,0.1293
HD827_SSEQ_v6_c193023_2024-03-19-22-51-23-278,184,0.061,0.0603,0.1213
HD832_SSEQ_v9_acde6938-9634-4c9b-b391-b14359ad3b03,184,0.0653,0.0579,0.1232
HD827_SSEQ_v7_d00e54e0-69d4-4428-adb4-092397706439,180,0.0623,0.054,0.1163
HD827_SSEQ_v8_c405952_2024-03-21-12-43-50-665,184,0.0586,0.0592,0.1178
HD827_SSEQ_v8_107cfe4c-1c9b-4e8a-b074-c5580263878e,182,0.0557,0.0629,0.1186
HD827_SSEQ_v9_069c4ea1-ecb4-4ad1-bff0-e73cbe4261ce,186,0.0532,0.0642,0.1174
CAP_2024_RNA_A_02_HD832_v1_0426bb75-0929-418c-b7a1-b5724813de47,185,0.0624,0.0638,0.1263
CAP_2024_RNA_A_03_HD832_v1_1244bcca-1024-49c2-ae28-62a3733e4592,186,0.0528,0.0584,0.1112
CAP_2024_RNA_A_01_HD832_v1_c42804_2024-04-15-11-21-22-794,184,0.0609,0.0595,0.1203
HD827_SSEQ_v10_d31ec588-3836-42f5-8c6b-e3114cb382b9,186,0.0626,0.0613,0.1239
HD827_SSEQ_RPT_v1_0eecdf31-461b-42e3-bcd0-b74e554589af,185,0.057,0.0598,0.1168
HD832_SSEQ_v10_fd9c113d-13c9-4cce-81d8-50929ab7ba72,183,0.0544,0.0632,0.1176
24P530_PL_v1_9164cfbb-1fea-4c17-80a1-67ca22ea1d10,95,0.064,0.0536,0.1176
HD827_SSEQ_v11_8a37d5c4-dcfd-440b-9665-d22a5db18b7a,184,0.1522,0.0762,0.2284
HD832_SSEQ_v11_85857795-0438-48f4-ba65-f0f1afc14ab5,184,0.1042,0.0673,0.1716
HD832_SSEQ_2_v1_1e7da4b9-df17-4bac-95ee-d682ddae4e1f,185,0.0553,0.0755,0.1308
HD827_SSEQ_RNA_v13_d2ec4022-6664-4dcd-b93c-233f090452e3,17,0.0703,0.0701,0.1404
HD832_SSEQ_2_RNA_v2_e103b89f-f0c9-44b2-bd05-b38d3d9b1995,17,0.0568,0.0636,0.1204
HD832_SSEQ_2_v1_reanalysed_c1195297_2024-05-09-22-28-42-358,185,0.0661,0.0602,0.1263
HD827_SSEQ_v11_reanalysed_c12633_2024-05-09-22-38-16-477,184,0.0679,0.0646,0.1326
HD827_SSEQ_v12_6877b5bc-62ee-46ea-b8b3-aed6f0d7bb84,182,0.0574,0.0631,0.1205
HD832_SSEQ_v12_59f75bfa-cb8b-414a-b66c-da4ed58f2d9e,185,0.0593,0.0663,0.1256
HD827_SSEQ_v13_bca40143-dd11-41c3-847e-c380fd99a0ac,168,0.0667,0.0523,0.1189
HD827_SSEQ_v13_repeat_c6853_2024-05-24-16-29-34-688,185,0.072,0.0689,0.141
HD832_SSEQ_v13_a11af9b3-3f72-4d9e-a6d4-4b897f5364d0,182,0.0661,0.0635,0.1296
HD827_SSEQ_v14_78d08939-1e76-4718-8708-f182f07ceace,167,0.0531,0.0674,0.1205
HD827_SSEQ_v15_e149d07b-0f6c-4fe8-aaff-70db6b16eabb,167,0.0485,0.0833,0.1318
HD827_SSEQ_RNA_v15_5e69ce4a-cf1d-4c63-a16f-315dbb17ca95,17,0.083,0.0587,0.1416
HD832_SSEQ_RNA_v13_3afa6767-0fd7-486c-a059-236e9a5e7ad0,17,0.0658,0.0621,0.1279
HD832_SSEQ_v14_4c6525d8-79ce-4253-833b-2e42de3cb480,168,0.0672,0.0603,0.1275
HD827_SSEQ_v14_c387747_2024-06-02-03-06-48-383,184,0.0621,0.0602,0.1223
HD832_SSEQ_v16_c6583_2024-06-02-02-11-05-439,185,0.0646,0.0591,0.1237
HD827_SSEQ_v16_c2ea53fd-abc1-4188-a7db-59341b3dbdd3,184,0.0551,0.0636,0.1187
HD832_SSEQ_2_v2_37b45cb5-6b82-4199-945b-b8efae36d9ea,184,0.0636,0.0512,0.1148
HD832_SSEQ_3_v1_a424fb3d-d7f1-45fd-b947-159caae19d8d,183,0.0545,0.0592,0.1137
HD832_SSEQ_v15_7cd67914-9a62-4701-8c58-4638a5f3a62d,184,0.0547,0.0652,0.1199
HD832_SSEQ_v16_533e1674-452f-46c8-9beb-2df2c7279a04,182,0.0655,0.065,0.1305
HD827_SSEQ_v17_0aa8c0ca-8acd-4c97-ab65-a5b4e91cb827,185,0.055,0.0539,0.1089
HD827_SSEQ_v18_442dae29-a59e-4e44-8a94-76eb2e57de5f,184,0.0543,0.0535,0.1078
HD832_SSEQ_v17_ae6093ff-e4af-4b23-9f17-e44ecc84a56c,183,0.0591,0.0547,0.1139
HD832_SSEQ_v18_c2b5c07e-14f9-4b26-bb87-8e7af124c089,183,0.0658,0.0555,0.1213
HD832_2_SSEQ_Newlot_v1_9241e7b6-f0b4-497d-a547-1b121a440384,184,0.0727,0.0597,0.1324
HD832_SSEQ_v19_05954390-7ea9-46ef-8ec6-caa5f0bb9e58,182,0.0669,0.0618,0.1287
HD832_SSEQ_v20_b1a6b5f8-52a8-4552-b139-7737bc58ad31,186,0.0627,0.0608,0.1235
HD832_SSEQ_2_v3_b1c4b4b8-be92-4020-8c4c-e54f4e971495,181,0.0618,0.0573,0.1191
HD832_SSEQ_RNA_v20_2c810cf7-d74c-41d0-b69b-0fd15125d389,17,0.0549,0.0553,0.1101
HD832_SSEQ_v21_b0b7de21-71a4-4c4e-88aa-ea51106f239b,184,0.059,0.0681,0.1271
HD832_SSEQ_v22_bdd75276-72c9-4ef5-b5af-89e2127e7fcb,184,0.0569,0.0649,0.1218
HD832_SSEQ_Reanalyse_RNA_v2_c73944_2024-07-18-00-15-05-898,186,0.0549,0.0586,0.1135
HD832_SSEQ_v23_8718f71d-1254-4121-9c4b-ff060a19eac8,182,0.0554,0.0624,0.1178
HD832_SSEQ_RPT_v1_e717b79f-acc5-4443-b41c-b1edc22745fb,183,0.0555,0.0562,0.1118
HD832_SSEQ_v24_55aea977-c514-4146-a2a9-84744e6640ff,184,0.0489,0.0542,0.1031
HD832_SSEQ_v25_0635e771-8176-4cd5-9e5c-08e3221708d9,168,0.0589,0.0585,0.1174
